ts,symbol,is_active,priority,vol_score,flow_score,info_score,cost_score,spread_bps,depth_usd,atr_pct
1756927051.8075578,BTCUSDT:USDT,1,87.66,7.23,99.98,3.61,0.03,0.0089,361324,0.000000
1756927056.463062,SOLUSDT:USDT,0,82.73,8.07,99.05,4.04,1.43,0.4773,403611,0.000000
1756927061.589229,XRPUSDT:USDT,0,76.90,2.86,99.30,1.43,1.05,0.3516,142903,0.000000
1756927066.226115,DOGEUSDT:USDT,0,74.15,0.77,99.09,0.39,1.37,0.4572,38554,0.000000
1756927073.9227939,WLFIUSDT:USDT,0,73.95,0.61,99.07,0.30,1.39,0.4634,30456,0.000000
1756927077.614629,ENAUSDT:USDT,0,72.26,2.14,97.26,1.07,4.11,1.3703,106784,0.000000
1756927088.065977,WIFUSDT:USDT,0,63.49,2.04,92.64,1.02,11.04,3.6817,102022,0.000000
1756927097.1069992,ADAUSDT:USDT,0,74.97,3.96,97.61,1.98,3.59,1.1965,198220,0.000000
1756927107.965748,HYPEUSDT:USDT,0,74.51,6.86,95.62,3.43,6.57,2.1894,343109,0.000000
1756927116.009824,ONDOUSDT:USDT,0,72.46,1.23,97.91,0.62,3.14,1.0468,61505,0.000000
1756927128.737648,ETHUSDT:USDT,0,76.97,1.37,99.96,0.68,0.07,0.0224,68451,0.000000
1756927132.728839,BTCUSDT:USDT,1,89.53,8.81,99.98,4.40,0.03,0.0089,440403,0.000000
1756927135.4552162,SOLUSDT:USDT,0,78.01,3.90,99.05,1.95,1.43,0.4769,194947,0.000000
1756927140.110581,XRPUSDT:USDT,0,76.63,2.62,99.30,1.31,1.05,0.3513,131141,0.000000
1756927144.2480419,DOGEUSDT:USDT,0,71.24,1.22,97.26,0.61,4.11,1.3691,61062,0.000000
1756927153.249418,ENAUSDT:USDT,0,67.55,2.51,94.52,1.26,8.22,2.7401,125567,0.000000
1756927162.113887,WIFUSDT:USDT,0,67.66,1.64,95.10,0.82,7.35,2.4486,82014,0.000000
1756927173.8671339,ADAUSDT:USDT,0,75.17,4.14,97.61,2.07,3.58,1.1942,206752,0.000000
1756927177.848863,AVAXUSDT:USDT,0,74.08,0.50,99.21,0.25,1.19,0.3963,25156,0.000000
1756927181.378033,LINKUSDT:USDT,0,69.36,0.62,96.62,0.31,5.07,1.6890,30891,0.000000
1756927185.0395079,HYPEUSDT:USDT,0,74.16,6.54,95.63,3.27,6.56,2.1870,327210,0.000000
1756927191.945083,ONDOUSDT:USDT,0,68.83,1.48,95.82,0.74,6.27,2.0886,73918,0.000000
